NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
KARLA SILVANA MENEZES GADELHA DE SOUSA	Engenharias	Engenharia Química	Processos Industriais de Engenharia Química	Processos Inorgânicos
ANGELA LUCINIA URTIGA VASCONCELOS	Engenharias	Engenharia Química	Processos Industriais de Engenharia Química	nan
JOSILENE DE ASSIS CAVALCANTE	Engenharias	Engenharia Química	Processos Industriais de Engenharia Química	nan
VERUSCKA ARAUJO SILVA	Engenharias	Engenharia Química	Processos Industriais de Engenharia Química	nan
RAUL ROSENHAIM	Engenharias	Engenharia Química	Tecnologia Química	Água
VIVIAN STUMPF MADEIRA	Engenharias	Engenharia Química	Tecnologia Química	Água
ANDREA LOPES DE OLIVEIRA FERREIRA	Engenharias	Engenharia Química	Tecnologia Química	Álcool
JOELMA MORAIS FERREIRA	Engenharias	Engenharia Química	Tecnologia Química	Álcool
RENNIO FELIX DE SENA	Engenharias	Engenharia Química	Tecnologia Química	Balanços Globais de Matéria e Energia
SHARLINE FLORENTINO DE MELO SANTOS	Engenharias	Engenharia Química	Tecnologia Química	Fertilizantes
FABIOLA DIAS DA SILVA CURBELO	Engenharias	Engenharia Química	Tecnologia Química	Petróleo e Petroquímica
DANIELLE CHRISTINE ALMEIDA JAGUARIBE	Engenharias	Engenharia Química	Tecnologia Química	Produtos Naturais
MELANIA LOPES CORNELIO	Engenharias	Engenharia Química	Tecnologia Química	Produtos Naturais
SILVIA LAYARA FLORIANI ANDERSEN	Engenharias	Engenharia Química	Tecnologia Química	Tratamentos e Aproveitamento de Rejeitos
ADRIANO ROLIM DA PAZ	Engenharias	Engenharia Sanitária	Recursos Hídricos	Controle de Enchentes e de Barragens
ANA CRISTINA SOUZA DA SILVA	Engenharias	Engenharia Sanitária	Recursos Hídricos	Planejamento Integrado dos Recursos Hídricos
LEONARDO VIEIRA SOARES	Engenharias	Engenharia Sanitária	Recursos Hídricos	Planejamento Integrado dos Recursos Hídricos
ELISANGELA MARIA RODRIGUES ROCHA	Engenharias	Engenharia Sanitária	Saneamento Ambiental	Controle da Poluição
CLAUDIA COUTINHO NOBREGA	Engenharias	Engenharia Sanitária	Saneamento Básico	Residuos Sólidos Domésticos e Industriais
CARMEM LUCIA MOREIRA GADELHA	Engenharias	Engenharia Sanitária	Tratamento de Águas de Abastecimento e Residuárias	Processos Simplificados de Tratamento de Águas
